|Run	|Epoch	$RunName	#CorSim	#UnitErr	#PctErr	#PctCor	#FirstZero	#LastZero	#PerTrlMSec	#Hidden1_PCA_NStrong	#Hidden1_PCA_Top5	#Hidden1_PCA_Next5	#Hidden1_PCA_Rest	#Hidden2_PCA_NStrong	#Hidden2_PCA_Top5	#Hidden2_PCA_Next5	#Hidden2_PCA_Rest	#Output_PCA_NStrong	#Output_PCA_Top5	#Output_PCA_Next5	#Output_PCA_Rest
0	1000	Base	0.985	0.00032	0.008	0.992	100	-1	17.25	22	0.1266	0.06401	0.006483	22	0.105	0.05217	0.005133	19	0.3369	0.1834	0.03421
1	1000	Base	0.9876	0	0	1	83	999	17.19	22	0.1247	0.06754	0.006679	22	0.1076	0.05502	0.005192	19	0.3498	0.175	0.03352
2	1000	Base	0.9874	0	0	1	81	999	17.22	22	0.1299	0.07398	0.006934	22	0.09741	0.05813	0.005274	19	0.3425	0.1789	0.03369
3	1000	Base	0.984	0	0	1	94	999	17.31	23	0.1275	0.06554	0.007069	21	0.1091	0.05236	0.005248	19	0.3319	0.1715	0.03271
4	1000	Base	0.9795	0.00032	0.008	0.992	92	999	20.01	22	0.1399	0.06533	0.006177	21	0.1154	0.05021	0.005233	19	0.3322	0.1717	0.02928
5	1000	Base	0.9787	0.00096	0.024	0.976	299	999	19.96	22	0.1365	0.06663	0.00552	21	0.111	0.05528	0.004969	19	0.3096	0.1713	0.03202
6	1000	Base	0.9865	0	0	1	84	999	17.37	22	0.1286	0.07116	0.006464	21	0.1075	0.05477	0.005145	19	0.3495	0.1784	0.03282
7	1000	Base	0.9875	0.00032	0.008	0.992	83	999	17.27	21	0.1318	0.06849	0.006234	21	0.1098	0.05155	0.005223	19	0.3429	0.1744	0.03538
8	1000	Base	0.9858	0	0	1	138	999	17.87	22	0.1432	0.0649	0.006156	21	0.1062	0.0497	0.00535	19	0.3482	0.1789	0.03272
9	1000	Base	0.9834	0.00032	0.008	0.992	73	999	19.87	21	0.1268	0.06655	0.005667	21	0.09708	0.05451	0.00521	19	0.331	0.1866	0.03221
