|Run	|Epoch	$RunName	#CorSim	#UnitErr	#PctErr	#PctCor	#FirstZero	#LastZero	#PerTrlMSec	#Hidden1_PCA_NStrong	#Hidden1_PCA_Top5	#Hidden1_PCA_Next5	#Hidden1_PCA_Rest	#Hidden2_PCA_NStrong	#Hidden2_PCA_Top5	#Hidden2_PCA_Next5	#Hidden2_PCA_Rest	#Output_PCA_NStrong	#Output_PCA_Top5	#Output_PCA_Next5	#Output_PCA_Rest
0	1000	Base	0.9619	0.0016	0.04	0.96	121	-1	36.83	24	0.3198	0.1517	0.0128	24	0.382	0.1435	0.01234	19	0.3215	0.1548	0.02967
1	1000	Base	0.9747	0.00032	0.008	0.992	84	-1	33.16	24	0.3126	0.1471	0.01283	24	0.3865	0.1639	0.01419	19	0.3521	0.1748	0.03055
2	1000	Base	0.9719	0.00064	0.016	0.984	146	999	32.4	23	0.316	0.16	0.01333	24	0.3566	0.1609	0.01466	19	0.3375	0.1753	0.03133
3	1000	Base	0.9699	0.00128	0.032	0.968	120	-1	33.22	24	0.3225	0.1547	0.01368	23	0.391	0.1534	0.0143	19	0.3284	0.1699	0.03378
4	1000	Base	0.957	0.00288	0.056	0.944	125	-1	32.39	24	0.3545	0.1582	0.01315	23	0.4126	0.1792	0.0135	18	0.3258	0.1533	0.02716
5	1000	Base	0.9703	0.00064	0.016	0.984	141	-1	33.31	24	0.3138	0.1589	0.01123	24	0.3828	0.1586	0.01302	18	0.3364	0.1704	0.03101
6	1000	Base	0.9656	0.00192	0.04	0.96	113	-1	32.29	24	0.306	0.1549	0.01178	24	0.3329	0.1456	0.01208	18	0.3413	0.1681	0.03033
7	1000	Base	0.9788	0.00064	0.008	0.992	116	-1	32.04	24	0.3559	0.149	0.0133	24	0.4288	0.177	0.01564	19	0.3482	0.1813	0.03606
8	1000	Base	0.9705	0.0016	0.04	0.96	104	-1	32.46	24	0.3538	0.1677	0.01408	24	0.3818	0.1804	0.01578	18	0.3311	0.183	0.03288
9	1000	Base	0.9724	0	0	1	95	999	32.62	24	0.33	0.1586	0.01283	24	0.386	0.1742	0.01493	19	0.3313	0.1751	0.03303
