|Run	|Epoch	$RunName	#CorSim	#UnitErr	#PctErr	#PctCor	#FirstZero	#LastZero	#PerTrlMSec	#Hidden1_PCA_NStrong	#Hidden1_PCA_Top5	#Hidden1_PCA_Next5	#Hidden1_PCA_Rest	#Hidden2_PCA_NStrong	#Hidden2_PCA_Top5	#Hidden2_PCA_Next5	#Hidden2_PCA_Rest	#Output_PCA_NStrong	#Output_PCA_Top5	#Output_PCA_Next5	#Output_PCA_Rest
0	1000	Base	0.9911	0	0	1	152	999	18.76	23	0.165	0.08028	0.007665	23	0.1161	0.06228	0.006824	18	0.3545	0.1879	0.03391
1	1000	Base	0.9886	0	0	1	156	999	18.6	23	0.1675	0.08654	0.008639	23	0.1201	0.06437	0.006089	19	0.3502	0.1812	0.03444
2	1000	Base	0.9904	0	0	1	127	999	18.57	24	0.1782	0.08713	0.008628	22	0.1104	0.06379	0.006146	19	0.3478	0.1822	0.03442
3	1000	Base	0.9879	0	0	1	97	999	18.09	24	0.1565	0.0888	0.00934	22	0.1153	0.0631	0.006128	19	0.3492	0.1763	0.03427
4	1000	Base	0.992	0	0	1	116	999	18.61	24	0.175	0.08805	0.008898	23	0.1219	0.06665	0.006831	19	0.3536	0.1906	0.03433
5	1000	Base	0.9897	0	0	1	133	999	18.52	23	0.1625	0.0911	0.007211	22	0.1205	0.06043	0.005949	19	0.3438	0.1822	0.0327
6	1000	Base	0.9901	0	0	1	143	999	18.42	22	0.1716	0.0831	0.007084	22	0.1202	0.0616	0.00628	18	0.3527	0.1884	0.03343
7	1000	Base	0.9902	0	0	1	119	999	18.47	23	0.1713	0.08829	0.008281	22	0.1282	0.06319	0.006189	19	0.3554	0.1877	0.03415
8	1000	Base	0.9832	0.00032	0.008	0.992	110	-1	18.63	23	0.1793	0.0843	0.008215	22	0.1252	0.06139	0.00653	19	0.3495	0.1739	0.03213
9	1000	Base	0.9889	0	0	1	113	999	17.37	21	0.1823	0.07805	0.007277	22	0.1188	0.06088	0.005814	19	0.3469	0.1855	0.03262
